State,Time,Listed_no_fent,Listed_fent,Fent_only,Nonlisted_and_fent,Nonlisted_only,Perc_listed_cooccurring_fent,Perc_total_samples_fent
0.US,2013,1203670,135,891,15,381484,0.011214440877052347,0.06562875308521336
0.US,2014,1228915,1591,3877,124,370026,0.12929640326824898,0.3485126201829442
0.US,2015,1207565,4279,12475,272,355469,0.3530982535705916,1.0775540169360658
0.US,2016,1254222,12178,29187,816,377853,0.9616234996841441,2.519387716095985
0.US,2017,1250673,25905,48717,2081,404769,2.0292532066195723,4.428208954793045
0.US,2018,1239720,33731,58890,3803,395697,2.648786643537914,5.567716666830269
0.US,2019,1173559,35357,73587,5409,385549,2.924686247845177,6.8333232743398264
0.US,2020,943909,30134,91284,10028,363405,3.093703255400429,9.136061608607413
0.US,2021,885195,29852,129417,16817,359929,3.2623460871408794,12.389864974212115
0.US,2022,724907,23644,143292,18002,280690,3.1586358177331935,15.534024619183812
0.US,2023,612973,18093,126488,20568,247802,2.8670535253048017,16.097586175974048
AK,2013,1836,0,2,0,261,0,0.09528346831824679
AK,2023,1180,10,507,67,312,0.8403361344537815,28.13102119460501
AK,2020,1779,18,27,11,1442,1.001669449081803,1.7088800732377174
AK,2017,1506,0,4,0,43,0,0.25756600128783
AK,2014,1759,0,4,0,60,0,0.21941854086670326
AK,2022,1442,8,241,58,291,0.5517241379310345,15.049019607843137
AK,2021,1898,52,74,9,664,2.666666666666667,5.005561735261402
AK,2018,769,1,1,0,112,0.12987012987012986,0.22650056625141565
AK,2015,1622,0,1,0,157,0,0.05617977528089888
AK,2019,194,9,1,5,80,4.433497536945813,5.190311418685121
AK,2016,1416,3,9,0,29,0.21141649048625794,0.8236101578586137
AL,2016,23458,12,152,11,17542,0.05112910097997443,0.42501517911353975
AL,2013,25893,0,8,0,18347,0,0.01807991321641656
AL,2014,23485,3,29,2,17971,0.012772479564032697,0.0819474572186069
AL,2015,20566,12,111,8,16227,0.058314705024783746,0.3547827970967392
AL,2017,29969,30,314,13,19466,0.10000333344444814,0.71698264781491
AL,2018,31441,90,158,26,18198,0.2854333830198852,0.5489551820167091
AL,2022,3753,43,217,74,1923,1.1327713382507905,5.5574043261231285
AL,2021,15552,73,226,59,7310,0.4672,1.541774332472007
AL,2020,27410,223,502,18,15168,0.8070061158759455,1.7151035294660788
AL,2019,32439,144,286,47,16856,0.44194825522511744,0.9583701679659246
AL,2023,1169,42,111,81,669,3.4682080924855487,11.293436293436294
AR,2020,29367,3,437,11,28319,0.010214504596527068,0.775753822866677
AR,2014,27803,1,14,0,10233,0.0035966048050640196,0.03942077737772989
AR,2017,34397,3,174,1,6405,0.00872093023255814,0.4343582235236701
AR,2021,26968,23,838,31,23197,0.08521358971509022,1.7470670035450573
AR,2018,31317,5,290,4,5904,0.015963220739416386,0.7969083155650319
AR,2015,30025,0,97,1,9633,0,0.24650367240165008
AR,2022,20481,10,1177,54,17935,0.04880191303499097,3.1293340393877505
AR,2019,29443,6,291,13,17816,0.02037420625488132,0.6516849208518152
AR,2016,33567,0,66,1,7049,0,0.16468795319912494
AR,2013,17524,0,9,0,7674,0,0.03570436783433173
AR,2023,15248,10,962,77,13278,0.06553938917289291,3.5469146238377007
AZ,2013,30508,0,10,0,5459,0,0.027795536036912472
AZ,2015,30596,0,29,1,4657,0,0.08502678343678259
AZ,2014,33734,0,5,1,5072,0,0.015459136349582604
AZ,2019,26760,67,3212,231,3130,0.24974838781824282,10.508982035928144
AZ,2022,13035,242,16701,144,11996,1.8227009113504555,40.569352770786836
AZ,2016,29509,13,67,15,4386,0.04403495698123434,0.2794939688143572
AZ,2023,10474,196,15855,178,10139,1.836925960637301,44.05026871505347
AZ,2020,20912,131,7880,215,3235,0.6225348096754265,25.410063942174034
AZ,2017,30359,36,317,60,4037,0.11844053298239843,1.1864747622741245
AZ,2021,13554,210,13244,245,2914,1.5257192676547515,45.41054794974641
AZ,2018,28133,26,926,106,3317,0.09233282431904542,3.254583487141627
CA,2017,106314,189,512,106,18784,0.17745978986507424,0.6409594535562527
CA,2018,112065,339,933,271,21461,0.3015906907227501,1.1423790803219096
CA,2015,107792,8,94,36,21209,0.007421150278293135,0.1068615987424403
CA,2014,117450,2,35,22,28704,0.0017028232809998978,0.0403520890755268
CA,2013,121514,0,33,5,34336,0,0.024376475418249
CA,2016,121000,58,217,44,25123,0.047910918733169224,0.21783368159407818
CA,2020,117322,640,4529,1036,30773,0.5425476000746003,4.021386908619572
CA,2021,99944,660,7055,1319,28336,0.6560375332988748,6.579081521185021
CA,2022,67806,496,10154,849,16649,0.7261866416795995,11.983867269733414
CA,2019,118730,517,2208,513,30577,0.43355388395515193,2.122652332098725
CA,2023,59325,390,10919,728,17363,0.6531022356191912,13.566638489715412
CO,2020,11261,13,580,70,1176,0.11530956182366507,5.061068702290076
CO,2023,3386,62,1283,598,588,1.7981438515081205,32.8375866148386
CO,2017,15583,14,34,1,1162,0.08976085144579087,0.2917708705490056
CO,2014,11780,1,13,0,1258,0.00848824378236143,0.10726325467361322
CO,2013,11256,0,8,0,1831,0,0.06109201985490645
CO,2022,7130,91,2635,202,1014,1.2602132668605457,26.445086705202314
CO,2021,10211,82,1834,141,1252,0.7966579228601962,15.214497041420119
CO,2018,15799,24,68,11,1386,0.15167793718005435,0.5957889865802869
CO,2015,12957,0,21,0,1047,0,0.1497326203208556
CO,2019,15201,23,243,31,1378,0.151077246452969,1.7598957098838588
CO,2016,17383,5,24,1,1236,0.028755463538072235,0.16086653439862728
