State,Time,Drug.sample,Total,Count_fent,P100_fent
0.US,2013-01,Methamphetamine,18204,0,0
0.US,2013-02,Methamphetamine,16617,0,0
0.US,2013-03,Methamphetamine,18737,0,0
0.US,2013-04,Methamphetamine,17220,0,0
0.US,2013-05,Methamphetamine,19165,1,0.0052178450300026085
0.US,2013-06,Methamphetamine,16748,0,0
0.US,2013-07,Methamphetamine,18689,0,0
0.US,2013-08,Methamphetamine,19490,0,0
0.US,2013-09,Methamphetamine,17657,0,0
0.US,2013-10,Methamphetamine,19988,2,0.010006003602161296
0.US,2013-11,Methamphetamine,16240,0,0
0.US,2013-12,Methamphetamine,17174,0,0
0.US,2014-01,Methamphetamine,20198,2,0.009901970492127933
0.US,2014-02,Methamphetamine,19235,0,0
0.US,2014-03,Methamphetamine,21177,2,0.009444208339235963
0.US,2014-04,Methamphetamine,23598,1,0.004237647258242224
0.US,2014-05,Methamphetamine,21294,1,0.004696158542312388
0.US,2014-06,Methamphetamine,20628,1,0.004847779716889665
0.US,2014-07,Methamphetamine,22142,1,0.004516303856923494
0.US,2014-08,Methamphetamine,20556,1,0.004864759680871765
0.US,2014-09,Methamphetamine,20905,3,0.014350633819660367
0.US,2014-10,Methamphetamine,21936,0,0
0.US,2014-11,Methamphetamine,16814,2,0.011894849530153443
0.US,2014-12,Methamphetamine,18609,1,0.005373743887366328
0.US,2015-01,Methamphetamine,21285,1,0.004698144233027954
0.US,2015-02,Methamphetamine,21496,1,0.004652028284331969
0.US,2015-03,Methamphetamine,24549,3,0.012220457045093485
0.US,2015-04,Methamphetamine,24987,4,0.0160083243286509
0.US,2015-05,Methamphetamine,21752,4,0.018389113644722326
0.US,2015-06,Methamphetamine,23439,5,0.021331968087375742
0.US,2015-07,Methamphetamine,24870,5,0.02010454362685967
0.US,2015-08,Methamphetamine,22796,3,0.013160203544481486
0.US,2015-09,Methamphetamine,24161,14,0.05794462149745457
0.US,2015-10,Methamphetamine,24517,7,0.028551617245176818
0.US,2015-11,Methamphetamine,21399,21,0.09813542688910697
0.US,2015-12,Methamphetamine,24351,15,0.06159911297277319
0.US,2016-01,Methamphetamine,25574,18,0.07038398373347932
0.US,2016-02,Methamphetamine,27788,17,0.06117748668489995
0.US,2016-03,Methamphetamine,31954,27,0.08449646366652062
0.US,2016-04,Methamphetamine,28455,12,0.04217185028993147
0.US,2016-05,Methamphetamine,28051,11,0.03921428826066806
0.US,2016-06,Methamphetamine,28921,17,0.05878081670758272
0.US,2016-07,Methamphetamine,25458,18,0.07070469007777516
0.US,2016-08,Methamphetamine,30458,21,0.06894740298115438
0.US,2016-09,Methamphetamine,28735,39,0.13572298590568993
0.US,2016-10,Methamphetamine,26694,31,0.1161309657600959
0.US,2016-11,Methamphetamine,26256,33,0.1256855575868373
0.US,2016-12,Methamphetamine,26681,39,0.14617143285484052
0.US,2017-01,Methamphetamine,30978,55,0.17754535476789982
0.US,2017-02,Methamphetamine,29933,75,0.2505595830688538
0.US,2017-03,Methamphetamine,37225,71,0.19073203492276697
0.US,2017-04,Methamphetamine,31161,102,0.32733224222585927
0.US,2017-05,Methamphetamine,33908,69,0.20349180134481537
0.US,2017-06,Methamphetamine,32667,78,0.23877307374414544
0.US,2017-07,Methamphetamine,29216,52,0.17798466593647316
0.US,2017-08,Methamphetamine,35203,59,0.1675993523279266
0.US,2017-09,Methamphetamine,30800,49,0.1590909090909091
0.US,2017-10,Methamphetamine,31260,109,0.3486884197056942
0.US,2017-11,Methamphetamine,31013,88,0.2837519749782349
0.US,2017-12,Methamphetamine,28971,59,0.20365192778985883
0.US,2018-01,Methamphetamine,34362,76,0.2211745532856062
0.US,2018-02,Methamphetamine,31400,68,0.21656050955414013
0.US,2018-03,Methamphetamine,37933,94,0.24780534099596657
0.US,2018-04,Methamphetamine,35827,93,0.25958076311161976
0.US,2018-05,Methamphetamine,38914,83,0.2132908464819859
0.US,2018-06,Methamphetamine,36425,75,0.20590253946465342
0.US,2018-07,Methamphetamine,35979,99,0.27516051029767363
0.US,2018-08,Methamphetamine,40462,132,0.32623202016707037
0.US,2018-09,Methamphetamine,34693,135,0.38912748969532757
0.US,2018-10,Methamphetamine,37063,127,0.34265979548336617
0.US,2018-11,Methamphetamine,33035,122,0.36930528227637355
0.US,2018-12,Methamphetamine,30488,112,0.36735764891104694
0.US,2019-01,Methamphetamine,42157,125,0.29651066252342434
