State,Time,Total_listed,Listed_only,Count_fent_listed,P100_fent,Total_other,Other_only,Count_fent_only,Count_fent_other,P100_fent_only,P100_fent_all
0.US,2013,1203805,1203670,135,0.011214440877052347,382390,381484,891,15,0.056172160421637946,0.06562875308521336
0.US,2014,1230506,1228915,1591,0.12929640326824898,374027,370026,3877,124,0.24162793784858272,0.3485126201829442
0.US,2015,1211844,1207565,4279,0.3530982535705916,368216,355469,12475,272,0.7895269799881017,1.0775540169360658
0.US,2016,1266400,1254222,12178,0.9616234996841441,407856,377853,29187,816,1.743281792031804,2.519387716095985
0.US,2017,1276578,1250673,25905,2.0292532066195723,455567,404769,48717,2081,2.8125243556399724,4.428208954793045
0.US,2018,1273451,1239720,33731,2.648786643537914,458390,395697,58890,3803,3.400427637410132,5.567716666830269
0.US,2019,1208916,1173559,35357,2.924686247845177,464545,385549,73587,5409,4.3972939913150055,6.8333232743398264
0.US,2020,974043,943909,30134,3.093703255400429,464717,363405,91284,10028,6.344630098140065,9.136061608607413
0.US,2021,915047,885195,29852,3.2623460871408794,506163,359929,129417,16817,9.10611380443425,12.389864974212115
0.US,2022,748551,724907,23644,3.1586358177331935,441984,280690,143292,18002,12.03593342488881,15.534024619183812
0.US,2023,631066,612973,18093,2.8670535253048017,394858,247802,126488,20568,12.329178379685045,16.097586175974048
AK,2013,1836,1836,0,0,263,261,2,0,0.09528346831824679,0.09528346831824679
AL,2013,25893,25893,0,0,18355,18347,8,0,0.01807991321641656,0.01807991321641656
AR,2013,17524,17524,0,0,7683,7674,9,0,0.03570436783433173,0.03570436783433173
AZ,2013,30508,30508,0,0,5469,5459,10,0,0.027795536036912472,0.027795536036912472
CA,2013,121514,121514,0,0,34374,34336,33,5,0.021169044442163606,0.024376475418249
CO,2013,11256,11256,0,0,1839,1831,8,0,0.06109201985490645,0.06109201985490645
CT,2013,1035,1033,2,0.1932367149758454,464,464,0,0,0,0.13342228152101399
DC,2013,2739,2739,0,0,428,427,1,0,0.031575623618566466,0.031575623618566466
DE,2013,2406,2406,0,0,287,286,1,0,0.03713330857779428,0.03713330857779428
FL,2013,55085,55077,8,0.014523009893800492,24223,24197,26,0,0.03278357794926111,0.04287083270287991
GA,2013,26761,26761,0,0,14349,14327,22,0,0.053514959863780104,0.053514959863780104
HI,2013,2862,2862,0,0,270,270,0,0,0,0
IA,2013,15138,15136,2,0.01321178491214163,4387,4382,5,0,0.02560819462227913,0.03585147247119078
ID,2013,5402,5402,0,0,2227,2219,8,0,0.10486302267662866,0.10486302267662866
IL,2013,84708,84706,2,0.0023610520848089908,4085,4045,34,6,0.03829130674715349,0.04730102598177784
IN,2013,25195,25195,0,0,11488,11465,23,0,0.0626993430199275,0.0626993430199275
KS,2013,15738,15737,1,0.006354047528275512,3958,3942,16,0,0.08123476848090982,0.08631194151096669
KY,2013,23740,23738,2,0.008424599831508003,18242,18219,23,0,0.054785384212281456,0.05954933066552332
LA,2013,38731,38731,0,0,15410,15393,17,0,0.03139949391403927,0.03139949391403927
MA,2013,30853,30841,12,0.038894110783392215,4458,4435,23,0,0.06513551018096343,0.09911925462320523
MD,2013,68673,68660,13,0.018930292837068426,28832,28785,47,0,0.04820265627403723,0.06153530588174966
ME,2013,978,978,0,0,288,285,3,0,0.23696682464454977,0.23696682464454977
MI,2013,30750,30750,0,0,4391,4365,26,0,0.07398764975384878,0.07398764975384878
MN,2013,6613,6613,0,0,3080,3072,8,0,0.08253378726916331,0.08253378726916331
MO,2013,32380,32380,0,0,8366,8329,37,0,0.09080645952976979,0.09080645952976979
MS,2013,16647,16647,0,0,4017,3992,25,0,0.12098335269066977,0.12098335269066977
MT,2013,1951,1951,0,0,242,237,5,0,0.22799817601459188,0.22799817601459188
NC,2013,8411,8411,0,0,14402,14390,12,0,0.05260158681453558,0.05260158681453558
ND,2013,8761,8761,0,0,1541,1531,10,0,0.09706853038245,0.09706853038245
NE,2013,5144,5143,1,0.019440124416796267,2032,2027,5,0,0.06967670011148272,0.08361204013377926
NH,2013,5939,5937,2,0.03367570298029971,1135,1121,14,0,0.19790783149561775,0.22618037885213457
NJ,2013,52730,52727,3,0.005689360895126114,6691,6679,11,1,0.01851197388128776,0.025243600747210583
NM,2013,10864,10864,0,0,1762,1762,0,0,0,0
NV,2013,3179,3179,0,0,1660,1657,3,0,0.06199628022318661,0.06199628022318661
NY,2013,18827,18823,4,0.021246082753492324,2640,2617,23,0,0.10714119345972889,0.12577444449620348
OH,2013,79588,79569,19,0.023872945670201536,28879,28787,92,0,0.08481842403680381,0.10233527247918721
OK,2013,30509,30509,0,0,12526,12508,18,0,0.04182642035552457,0.04182642035552457
